Job Title,Company,Location,Description
Senior Python Developer - Flask/Django,HabileLabs Private Limited,Jaipur,"Job Description

We are seeking an experienced Senior Python Developer to join our dynamic team. The ideal candidate will have a strong background in Python development, with expertise in building scalable, high-performance applications. You will be responsible for designing, developing, and maintaining software solutions, as well as mentoring junior developers and contributing to code :
 Design, develop, and maintain robust Python applications and systems.
 Collaborate with cross-functional teams to define and implement new features.
 Write clean, efficient, and maintainable code following best practices and coding standards.
 Perform code reviews and provide constructive feedback to ensure high-quality deliverables.
 Troubleshoot and resolve complex technical issues and bugs.
 Optimize application performance and scalability.
 Mentor and guide junior developers, fostering a collaborative and productive team environment.
 Stay updated with industry trends and emerging technologies to continuously improve development :
 Bachelor's degree in Computer Science, Engineering, or a related field.
 5+ years of professional experience in Python development.
 Strong proficiency in Python and its frameworks (e.g., Django, Flask).
 Experience with RESTful APIs, microservices architecture, and cloud services (e.g., AWS, Azure).
 Solid understanding of databases (SQL and NoSQL) and data modeling.
 Proficiency in version control systems (e.g., Git).
 Excellent problem-solving skills and the ability to work independently and as part of a team.
 Strong communication skills and the ability to mentor junior developers.

(ref:hirist.tech),"
"Urgent Requirement, Immediate joiner for Python developer and expertise in LangChain",Briskcovey Technologies,Jaipur,"Company Description

Briskcovey Technologies, located in Jaipur, is a leading software product development services company that partners with start-ups and established players globally. The company also assists Fortune companies in leveraging disruptive technologies for business innovation. Briskcovey's customer base spans across the US, Canada, Europe, and SA, offering a diverse and challenging work environment for employees.

Role Description

This is a full-time on-site role for a Python developer with expertise in LangChain at Briskcovey Technologies in Jaipur. The developer will be responsible for urgent requirements and immediate solutions, working closely with the team to meet project deadlines and deliver high-quality code. Daily tasks include coding, debugging, testing, and collaborating with cross-functional teams to ensure efficient project delivery.

Qualifications
 Python programming skills and expertise in LangChain
 Experience in developing urgent solutions and meeting immediate requirements
 Ability to work collaboratively in a team environment
 Strong problem-solving and debugging skills
 Knowledge of software development lifecycle and methodologies
 Excellent communication and interpersonal skills
 Bachelor's degree in Computer Science or relevant field
 Experience with Agile methodologies is a plus,"
Senior Python Developer,EP Soft Pvt. Ltd.,Jaipur,"Coordinating with development teams to find out the needs of the application.
 Using the Python programming language to create scalable code.
 Application testing and bug fixing.
 Creating the back-end elements.
 Utilising server-side logic to incorporate user-facing components.
 Evaluating and ranking customer feature requests.
 Integrating storage methods for data.
 Design and implementation of high-performance, low-latency applications.
 Working in concert with front-end programmers.
 Upgrading the functionality of current databases.
 Creating digital technologies to track online activity.

Job Type: Full-time


Benefits:
 Health insurance
 Provident Fund

Schedule:
 Day shift

Tipe Lokasi:
 In-person

Education:
 Bachelor's (Preferred)

Experience:
 Python: 5 years (Required)
 total work: 5 years (Required)

Work Location: In person

Speak with the employer
+91 hidden_mobile,"
Python Developer - Backend Technologies,Resources Valley,Jaipur,"Job Description

Key Responsibilities :
 Write clean, efficient, and well-documented code in Python.
 Leverage Python libraries and frameworks to build robust back-end services.
 Maintain and optimize existing codebase, ensuring scalability and performance.
 Design, develop, and maintain MongoDB schemas with an emphasis on performance and scalability.
 Write and optimize MongoDB queries and indexes for efficient data retrieval.
 Set up MongoDB replication, backup, and restore processes to ensure high availability and data integrity.
 Manage AWS S3 bucket configurations, including object storage, permissions, and security policies.
 Configure and implement S3 lifecycle management to ensure cost-effective storage.
 Implement access control through IAM policies and ACLs to secure S3 buckets and data.
 Develop and maintain RESTful APIs to facilitate data access and interaction with other services.
 Implement socket programming for real-time data exchanges as required.
 Ensure APIs are secure, scalable, and well-documented for ease of use and integration.
 Follow best practices for secure coding, focusing on data encryption and secure data storage.
 Integrate encryption protocols to safeguard sensitive information within applications and databases.
 Conduct regular security audits to identify and address vulnerabilities.

Required Skills And Qualifications
 Minimum of 4 years of experience with expertise in Python and associated libraries (e.g., Pandas, Flask, FastAPI).
 Minimum of 2 years of experience in MongoDB, including schema design, query optimization, indexing, and replication.
 Minimum of 2 years of experience with AWS S3, including object storage, IAM/ACL configuration, and lifecycle management.
 Proficiency in developing RESTful APIs and socket programming.
 Knowledge of secure coding practices and encryption methodologies to protect data.
 Experience with additional AWS services (e.g., EC2, Lambda) is a plus.
 Familiarity with version control tools like Git.
 Exposure to DevOps practices and CI/CD pipelines is a bonus.

(ref:hirist.tech),"
Python Developer - Web API + Docker Swarm,NAV Back Office,Jaipur,"3 - 6 years

Jaipur (On Site)

Brief Job Description:
 Develop and maintain APIs using Python.
 Implement and manage Docker containerization.
 Work with Docker Swarm for container orchestration.
 Collaborate with cross-functional teams on new features.
 Troubleshoot and resolve API performance issues.
 Support SQL Server database management.
 Assist in .Net integration as needed.

WORK EXPERIENCE AND SKILLS REQUIRED:
 Proven experience in Python API development.
 Proficiency with Docker and Swarm services.
 Understanding of software development best practices.
 Basic knowledge of SQL Server and .Net.
 Strong problem-solving and communication skills.,"
Python Developer,Data Ingenious Global Limited,Jaipur,"We are hiring for Python Developer for our organization at Data Ingenious Global Limited .

Experience - 3 to 6 years

Job Location - Jaipur

Roles and Responsibilities :

Designing, developing, testing, and implementing advanced machine learning models using Python, TensorFlow, PyTorch, or Scikit-Learn.

Creating data pipelines and preprocessing scripts to ensure high-quality training data for machine learning models.

Developing user interfaces and web applications for AI models using frameworks such as Flask or Django .

Collaborating with cross-functional teams to integrate machine learning models into existing systems.

Debugging and troubleshooting machine learning models, applications, and infrastructure.

Designing and implementing scalable machine learning architectures that can handle large volumes of data and high traffic loads.

If interested , kindly share resume on hidden_email

Job Types: Full-time, Permanent


Schedule:
 Day shift

Education:
 Bachelor's (Preferred)

Experience:
 Python: 1 year (Required)
 total work: 3 years (Required)

Work Location: In person,"
Python Developer ( Trainee),VertexPlus Technologies,Jaipur,"Description

Hi,

Greetings of the day.!!

Currently we are looking for Python Developer trainee. Below are the details.

Role: Python Developer

Experience: Fresher

Roles & Responsibilities:

Proven-deep-expertise with Python programming for Automation & Web development

Experience with any RDBMS and strong SQL knowledge.

Experience in working with frameworks Pandas, NumPy and knowledge of AI and ML added advantage

Working experience with Unix / Linux

Object-oriented concepts & design patterns

Communicate directly with onsite and customers.

Strong Communication Skills

CTC: As per the Company Norms,"
Python Developer (4+ Years),Mobile Programming LLC,Jaipur,"Company Description

Mobile Programming LLC, based in Jaipur, is dedicated to providing ""Economic as well as Efficient"" software solutions with a focus on Digital Transformation. The company specializes in Mobility Solutions, Custom App Development, Cloud Solutions, IoT, AR/VR, Blockchain, AI & ML, Chatbot, and more. Mobile Programming LLC aims to help clients accelerate business processes, achieve optimal productivity, and manage risks.

Role Description

This is a full-time on-site role for a Python Developer (4+ Years) at Mobile Programming LLC in Jaipur. The Python Developer will be responsible for back-end web development, software development, object-oriented programming (OOP), programming, and databases.

Qualifications
 Back-End Web Development and Software Development skills
 Strong grasp of Object-Oriented Programming (OOP) principles
 Proficiency in Programming and Databases
 Experience with Python frameworks like Django or Flask
 Familiarity with front-end technologies such as HTML, CSS, and JavaScript
 Ability to work in a collaborative team environment
 Bachelor's or Master's degree in Computer Science or relevant field
 Excellent problem-solving skills and attention to detail,"
Python Developer,Geek Shastra Technology,Jaipur,"We are seeking a skilled Python Developer to join our dynamic team. As a Python Developer, you will be responsible for developing high-quality software solutions, writing efficient, reusable, and reliable Python code. Your role will involve not only coding but also debugging, testing, and understanding existing codebases.

Key Responsibilities:

1. Coding: Develop Python-based applications, tools, and systems according to specifications.

2. Debugging: Identify and fix bugs or issues in existing codebases, ensuring optimal performance and reliability.

3. Testing: Write unit tests and integration tests to validate the functionality and performance of developed code.

4. Understanding Code: Analyze and comprehend existing codebases, APIs, and frameworks to effectively contribute to ongoing projects.

5. Collaboration: Collaborate with cross-functional teams including software engineers, designers, and product managers to deliver high-quality solutions.

6. Documentation: Document code. functionality, processes, and procedures for future reference and maintainability.

7. Continuous Learning: Stay updated with the latest trends, tools, and technologies in Python development and apply them to improve existing processes and workflows.

Requirements:

1. Proficiency in Python: Strong proficiency in Python programming language, with a clear understanding of its syntax, data structures, and algorithms.

2. Coding Skills: Ability to write clean, efficient, and maintainable code, adhering to coding standards and best practices.

3. Debugging Skills: Experience in troubleshooting and debugging code to identify and resolve issues effectively.

4. Testing Skills: Familiarity with testing frameworks such as pytest or unittest, and experience in writing and executing unit tests and integration tests.

5. Understanding Code: Ability to understand and analyze existing codebases, libraries, and APIs to contribute effectively to ongoing projects.

6. Problem-Solving Skills: Strong problem-solving skills with the ability to think creatively and analytically to develop innovative solutions.

7. Education: Bachelors degree in Computer Science, Engineering, or related field, or equivalent professional experience.

Job Types: Full-time, Permanent


Benefits:
 Flexible schedule
 Leave encashment
 Paid sick time
 Work from home

Schedule:
 Day shift

Education:
 Bachelor's (Preferred)

Experience:
 Python: 1 year (Preferred)
 total work: 1 year (Preferred)

Work Location: In person,"
Full Stack Python Developer,360 IT HUB PVT ltd,Jaipur,"Experience - Skilled Fresher -3 years

Job Description: We are looking for a Python Django React Full Stack Developer to join our team. The successful candidate will work on our web application, which is built using Python, Django, and React.

Responsibilities:
 Develop and maintain web applications using Python, Django, and React
 Work with project managers and other developers to ensure that project requirements are met
 Write clean, efficient, and well-documented code
 Participate in code reviews and contribute to the continuous improvement of the development process
 Troubleshoot and debug issues in the application
 Collaborate with other team members to design and implement new features

Requirements:
 At least 2 years of experience in Python, Django, and React development
 Strong knowledge of object-oriented programming principles and design patterns
 Experience with Git and version control systems
 Ability to write clean, efficient, and maintainable code
 Good. understanding of front-end technologies, including HTML, CSS, and JavaScript
 Thorough understanding of React.js and NodeJS and its core principles
 Experience with popular React.js workflows (such as Flux or Redux)
 Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
 Familiarity with relational databases and SQL
 Experience with RESTful APIs
 Strong problem-solving and analytical skills
 Excellent communication and collaboration skills
 Ability to work independently and as part of a team
 Bachelor's degree in Computer Science or a related field
 Preferred Qualifications:
 Frappe
 Experience with AWS or other cloud services
 Familiarity with Agile methodologies
 Experience with Redux and other state management libraries
 Knowledge of TypeScript

If you are a motivated and skilled Python Django React Full Stack Developer looking for an exciting opportunity, please submit your resume and cover letter for consideration.

Must Have Skills Sets: Python , Django , Java Script , React JS , HTML , CSS , Rest API , Communication

Job Type: Full-time


Benefits:
 Paid sick time

Schedule:
 Day shift
 Morning shift

Tipe Lokasi:
 In-person

Education:
 Bachelor's (Preferred)

Experience:
 total work: 1 year (Preferred)

Work Location: In person,"
